particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Net settlement  for  NSE-Equity with settlement number: 2019182,2019-09-26,NSE-EQ - Z,Book Voucher,2086.018826,0,2329.840782
DP Charges for 25/09/2019,2019-09-27,NSE-EQ - Z,Journal Entry,15.93,0,2313.910782
Net settlement  for  NSE-Equity with settlement number: 2019183,2019-09-27,NSE-EQ - Z,Book Voucher,839.095055,0,1474.815727
Net settlement  for  NSE-Equity with settlement number: 2019184,2019-09-30,NSE-EQ - Z,Book Voucher,948.272079,0,526.543648
Net settlement  for  NSE-Equity with settlement number: 2019185,2019-10-01,NSE-EQ - Z,Book Voucher,0.68752,0,525.856128
DP Charges for 30/09/2019,2019-10-03,NSE-EQ - Z,Journal Entry,15.93,0,12.514916
Net settlement  for  NSE-Equity with settlement number: 2019186,2019-10-03,NSE-EQ - Z,Book Voucher,497.411212,0,28.444916
DP Charges for 01/10/2019,2019-10-04,NSE-EQ - Z,Journal Entry,15.93,0,-3.415084
Net settlement  for  NSE-Equity with settlement number: 2019187,2019-10-04,NSE-EQ - Z,Book Voucher,0,175.162389,171.747305
Net settlement  for  NSE-Equity with settlement number: 2019188,2019-10-07,NSE-EQ - Z,Book Voucher,124.624179,0,47.123126
DP Charges for 04/10/2019,2019-10-09,NSE-EQ - Z,Journal Entry,15.93,0,31.193126
Net settlement  for  NSE-Equity with settlement number: 2019191,2019-10-11,NSE-EQ - Z,Book Voucher,0,55.752768,86.945894
Funds added using NEFT/IMPS/RTGS fromX with reference number 928709328485,2019-10-14,NSE-EQ - Z,Bank Receipts,0,3500,3586.945894
Settlement Value for 2018051,2018-03-15,NSE-EQ - Z,Book Voucher,544.502,0,-311.094
Net settlement  for  NSE-Equity with settlement number: 2019192,2019-10-14,NSE-EQ - Z,Book Voucher,3548.063867,0,38.882027
DP Charges for 11/10/2019,2019-10-15,NSE-EQ - Z,Journal Entry,15.93,0,22.952027
Net settlement  for  NSE-Equity with settlement number: 2019195,2019-10-17,NSE-EQ - Z,Book Voucher,20.02629,0,2.925737
DP Charges for 17/10/2019,2019-10-22,NSE-EQ - Z,Journal Entry,15.93,0,-13.004263
Net settlement  for  NSE-Equity with settlement number: 2019197,2019-10-22,NSE-EQ - Z,Book Voucher,0,2078.181512,2065.177249
Net settlement  for  NSE-Equity with settlement number: 2019198,2019-10-23,NSE-EQ - Z,Book Voucher,1324.24325,0,740.933999
DP Charges for 22/10/2019,2019-10-24,NSE-EQ - Z,Journal Entry,15.93,0,725.003999
Net settlement  for  NSE-Equity with settlement number: 2019199,2019-10-24,NSE-EQ - Z,Book Voucher,666.977957,0,58.026042
Net settlement  for  NSE-Equity with settlement number: 2019206,2019-11-04,NSE-EQ - Z,Book Voucher,0,1478.841162,1536.867204
DP Charges for 04/11/2019,2019-11-06,NSE-EQ - Z,Journal Entry,15.93,0,1520.937204
AMC for Demat Account for 01-04-2019 to 01-07-2019,2019-11-06,NSE-EQ - Z,Journal Entry,88.5,0,1432.437204
Net settlement  for  NSE-Equity with settlement number: 2019216,2019-11-19,NSE-EQ - Z,Book Voucher,307.0423,0,1125.394904
Net settlement  for  NSE-Equity with settlement number: 2019218,2019-11-21,NSE-EQ - Z,Book Voucher,0,6424.84923,7550.244134
DP Charges for 21/11/2019,2019-11-25,NSE-EQ - Z,Journal Entry,15.93,0,7534.314134
Net settlement  for  NSE-Equity with settlement number: 2019220,2019-11-25,NSE-EQ - Z,Book Voucher,1085.619545,0,6448.694589
Net settlement  for  NSE-Equity with settlement number: 2019230,2019-12-09,NSE-EQ - Z,Book Voucher,0,1095.129288,7543.823877
Net settlement  for  NSE-Equity with settlement number: 2019231,2019-12-10,NSE-EQ - Z,Book Voucher,1541.1647,0,6002.659177
DP Charges for 09/12/2019,2019-12-11,NSE-EQ - Z,Journal Entry,15.93,0,5986.729177
Net settlement  for  NSE-Equity with settlement number: 2019232,2019-12-11,NSE-EQ - Z,Book Voucher,1745.484997,0,4241.24418
Net settlement  for  NSE-Equity with settlement number: 2019237,2019-12-18,NSE-EQ - Z,Book Voucher,0,1588.55665,5829.80083
AMC for Demat Account for 01-07-2019 to 30-09-2019,2019-12-18,NSE-EQ - Z,Journal Entry,88.5,0,5741.30083
DP Charges for 18/12/2019,2019-12-20,NSE-EQ - Z,Journal Entry,15.93,0,5725.37083
Net settlement  for  NSE-Equity with settlement number: 2019243,2019-12-27,NSE-EQ - Z,Book Voucher,0,1767.81235,7493.18318
DP Charges for 27/12/2019,2019-12-31,NSE-EQ - Z,Journal Entry,15.93,0,7477.25318
Net settlement  for  NSE-Equity with settlement number: 2020006,2020-01-08,NSE-EQ - Z,Book Voucher,0,283.063738,7760.316918
DP Charges for 08/01/2020,2020-01-10,NSE-EQ - Z,Journal Entry,15.93,0,7744.386918
DP Charges for 08/01/2020,2020-01-10,NSE-EQ - Z,Journal Entry,15.93,0,7728.456918
Net settlement  for  NSE-Equity with settlement number: 2020010,2020-01-14,NSE-EQ - Z,Book Voucher,0,140.613467,7869.070385
DP Charges for 14/01/2020,2020-01-16,NSE-EQ - Z,Journal Entry,15.93,0,7853.140385
Net settlement  for  NSE-Equity with settlement number: 2020013,2020-01-17,NSE-EQ - Z,Book Voucher,649.826253,0,7203.314132
Net settlement  for  NSE-Equity with settlement number: 2020018,2020-01-24,NSE-EQ - Z,Book Voucher,197.431412,0,7005.88272
Net settlement  for  NSE-Equity with settlement number: 2020019,2020-01-27,NSE-EQ - Z,Book Voucher,1433.054059,0,5572.828661
Net settlement  for  NSE-Equity with settlement number: 2020020,2020-01-28,NSE-EQ - Z,Book Voucher,929.454032,0,4643.374629
Net settlement  for  NSE-Equity with settlement number: 2020021,2020-01-29,NSE-EQ - Z,Book Voucher,694.580699,0,3948.79393
Net settlement  for  NSE-Equity with settlement number: 2020022,2020-01-30,NSE-EQ - Z,Book Voucher,1126.023559,0,2822.770371
Net settlement  for  NSE-Equity with settlement number: 2020023,2020-01-31,NSE-EQ - Z,Book Voucher,192.730945,0,2630.039426
Net settlement  for  NSE-Equity with settlement number: 2020024,2020-02-01,NSE-EQ - Z,Book Voucher,2590.568848,0,39.470578
Funds added using NEFT/IMPS/RTGS fromX with reference number 3415421941,2020-02-03,NSE-EQ - Z,Bank Receipts,0,2000,2039.470578
Net settlement  for  NSE-Equity with settlement number: 2020025,2020-02-03,NSE-EQ - Z,Book Voucher,599.021206,0,1440.449372
Net settlement  for  NSE-Equity with settlement number: 2020027,2020-02-05,NSE-EQ - Z,Book Voucher,216.383294,0,1224.066078
Net settlement  for  NSE-Equity with settlement number: 2020029,2020-02-07,NSE-EQ - Z,Book Voucher,215.03316,0,1009.032918
Net settlement  for  NSE-Equity with settlement number: 2020030,2020-02-10,NSE-EQ - Z,Book Voucher,212.032862,0,797.000056
Net settlement  for  NSE-Equity with settlement number: 2020032,2020-02-12,NSE-EQ - Z,Book Voucher,212.032862,0,584.967194
Net settlement  for  NSE-Equity with settlement number: 2020033,2020-02-13,NSE-EQ - Z,Book Voucher,424.253944,0,160.71325
Net settlement  for  NSE-Equity with settlement number: 2020034,2020-02-14,NSE-EQ - Z,Book Voucher,40.015774,0,120.697476
Net settlement  for  NSE-Equity with settlement number: 2020036,2020-02-18,NSE-EQ - Z,Book Voucher,1752.885732,0,-1632.188256
Funds added using NEFT/IMPS/RTGS fromX with reference number 4909704251,2020-02-18,NSE-EQ - Z,Bank Receipts,0,4000,2367.811744
Net settlement  for  NSE-Equity with settlement number: 2020037,2020-02-19,NSE-EQ - Z,Book Voucher,205.132177,0,2162.679567
AMC for Demat Account for 30-09-2019 to 30-12-2019,2020-02-19,NSE-EQ - Z,Journal Entry,88.5,0,2074.179567
Net settlement  for  NSE-Equity with settlement number: 2020039,2020-02-24,NSE-EQ - Z,Book Voucher,879.549074,0,1194.630493
Net settlement  for  NSE-Equity with settlement number: 2020040,2020-02-25,NSE-EQ - Z,Book Voucher,294.191024,0,900.439469
Net settlement  for  NSE-Equity with settlement number: 2020042,2020-02-27,NSE-EQ - Z,Book Voucher,806.841851,0,93.597618
Net settlement  for  NSE-Equity with settlement number: 2020046,2020-03-04,NSE-EQ - Z,Book Voucher,37.665541,0,55.932077
Net settlement  for  NSE-Equity with settlement number: 2020048,2020-03-06,NSE-EQ - Z,Book Voucher,1937.885179,0,3118.046898
Funds added using NEFT/IMPS/RTGS fromX with reference number 6611523750,2020-03-06,NSE-EQ - Z,Bank Receipts,0,5000,5055.932077
Net settlement  for  NSE-Equity with settlement number: 2020049,2020-03-09,NSE-EQ - Z,Book Voucher,11092.237548,0,-7974.19065
Funds added using UPIX with reference number 6913826960,2020-03-09,NSE-EQ - Z,Bank Receipts,0,10000,2025.80935
DP Charges for 06/03/2020,2020-03-11,NSE-EQ - Z,Journal Entry,15.93,0,2009.87935
Net settlement  for  NSE-Equity with settlement number: 2020050,2020-03-11,NSE-EQ - Z,Book Voucher,1169.7279,0,840.15145
Net settlement  for  NSE-Equity with settlement number: 2020051,2020-03-12,NSE-EQ - Z,Book Voucher,2402.80889,0,-1562.65744
Funds added using UPIX with reference number 7212214506,2020-03-12,NSE-EQ - Z,Bank Receipts,0,2000,437.34256
Net settlement  for  NSE-Equity with settlement number: 2020052,2020-03-13,NSE-EQ - Z,Book Voucher,344.346006,0,92.996554
Net settlement  for  NSE-Equity with settlement number: 2020053,2020-03-16,NSE-EQ - Z,Book Voucher,68.441919,0,24.554635
DP Charges for 16/03/2020,2020-03-18,NSE-EQ - Z,Journal Entry,15.93,0,8.624635
Net settlement  for  NSE-Equity with settlement number: 2020056,2020-03-19,NSE-EQ - Z,Book Voucher,9849.289236,0,-9840.664601
Funds added using UPIX with reference number 7910545475,2020-03-19,NSE-EQ - Z,Bank Receipts,0,10000,159.335399
Net settlement  for  NSE-Equity with settlement number: 2020057,2020-03-20,NSE-EQ - Z,Book Voucher,78.269574,0,81.065825
Net settlement  for  NSE-Equity with settlement number: 2020058,2020-03-23,NSE-EQ - Z,Book Voucher,17455.641774,0,-17374.575949
Funds added using payment gateway fromX with reference number IGAIJHSLR3,2020-03-23,NSE-EQ - Z,Bank Receipts,0,8000,-9374.575949
Being payment gateway charges debited forX,2020-03-23,NSE-EQ - Z,Journal Entry,10.62,0,-9385.195949
Funds added using UPIX with reference number 8220158388,2020-03-23,NSE-EQ - Z,Bank Receipts,0,20000,10614.804051
Net settlement  for  NSE-Equity with settlement number: 2020059,2020-03-24,NSE-EQ - Z,Book Voucher,1182.179137,0,9432.624914
Net settlement  for  NSE-Equity with settlement number: 2020060,2020-03-25,NSE-EQ - Z,Book Voucher,716.33286,0,8716.292054
Net settlement  for  NSE-Equity with settlement number: 2020061,2020-03-26,NSE-EQ - Z,Book Voucher,777.588945,0,7938.703109
Net settlement  for  NSE-Equity with settlement number: 2020062,2020-03-27,NSE-EQ - Z,Book Voucher,3143.23298,0,4795.470129
Net settlement  for  NSE-Equity with settlement number: 2020064,2020-03-31,NSE-EQ - Z,Book Voucher,2484.608422,0,2310.861707
AMC for Demat Account for 30-12-2019 to 30-03-2020,2020-03-31,NSE-EQ - Z,Journal Entry,88.5,0,2222.361707
Net settlement  for  NSE-Equity with settlement number: 2020065,2020-04-01,NSE-EQ - Z,Book Voucher,229.434591,0,1992.927116
Net settlement  for  NSE-Equity with settlement number: 2020066,2020-04-03,NSE-EQ - Z,Book Voucher,1738.041699,0,254.885417
Net settlement  for  NSE-Equity with settlement number: 2020076,2020-04-22,NSE-EQ - Z,Book Voucher,66.318387,0,188.56703
Net settlement  for  NSE-Equity with settlement number: 2020083,2020-05-04,NSE-EQ - Z,Book Voucher,20.763862,0,167.803168
Net settlement  for  NSE-Equity with settlement number: 2020084,2020-05-05,NSE-EQ - Z,Book Voucher,109.072634,0,58.730534
Net settlement  for  NSE-Equity with settlement number: 2020093,2020-05-18,NSE-EQ - Z,Book Voucher,0,2324.457583,2383.188117
Net settlement  for  NSE-Equity with settlement number: 2020094,2020-05-19,NSE-EQ - Z,Book Voucher,739.78519,0,1643.402927
DP Charges for Sale of RUCHI on 18/05/2020,2020-05-20,NSE-EQ - Z,Journal Entry,15.93,0,1627.472927
Net settlement  for  NSE-Equity with settlement number: 2020095,2020-05-20,NSE-EQ - Z,Book Voucher,615.107508,0,1012.365419
Net settlement  for  NSE-Equity with settlement number: 2020096,2020-05-21,NSE-EQ - Z,Book Voucher,985.5096,0,26.855819
DP Charges for Sale of TATAMTRDVR on 20/05/2020,2020-05-22,NSE-EQ - Z,Journal Entry,15.93,0,10.925819
Net settlement  for  NSE-Equity with settlement number: 2020101,2020-05-29,NSE-EQ - Z,Book Voucher,0,579.330537,590.256356
DP Charges for Sale of TATASTEEL on 29/05/2020,2020-06-02,NSE-EQ - Z,Journal Entry,15.93,0,574.326356
Net settlement  for  NSE-Equity with settlement number: 2020107,2020-06-08,NSE-EQ - Z,Book Voucher,0,6340.110824,6914.43718
DP Charges for Sale of BIRLAMONEY on 08/06/2020,2020-06-10,NSE-EQ - Z,Journal Entry,15.93,0,6898.50718
Net settlement  for  NSE-Equity with settlement number: 2020109,2020-06-10,NSE-EQ - Z,Book Voucher,0,5187.724847,12086.232027
DP Charges for Sale of BAJAJFINSV on 10/06/2020,2020-06-12,NSE-EQ - Z,Journal Entry,15.93,0,12070.302027
Net settlement  for  NSE-Equity with settlement number: 2020112,2020-06-15,NSE-EQ - Z,Book Voucher,0,1172.07569,13242.377717
DP Charges for Sale of ABFRL on 15/06/2020,2020-06-17,NSE-EQ - Z,Journal Entry,15.93,0,13226.447717
Net settlement  for  NSE-Equity with settlement number: 2020124,2020-07-01,NSE-EQ - Z,Book Voucher,0,7454.698301,20681.146018
DP Charges for Sale of RADICO on 01/07/2020,2020-07-03,NSE-EQ - Z,Journal Entry,15.93,0,20665.216018
AMC for Demat Account for 30-03-2020 to 29-06-2020,2020-07-21,NSE-EQ - Z,Journal Entry,88.5,0,20576.716018
Net settlement  for  NSE-Equity with settlement number: 2020139,2020-07-22,NSE-EQ - Z,Book Voucher,0,1813.423024,22390.139042
DP Charges for Sale of TRENT on 22/07/2020,2020-07-24,NSE-EQ - Z,Journal Entry,15.93,0,22374.209042
Net settlement  for  NSE-Equity with settlement number: 2020142,2020-07-27,NSE-EQ - Z,Book Voucher,904.546901,0,21469.662141
Net settlement  for  NSE-Equity with settlement number: 2020147,2020-08-03,NSE-EQ - Z,Book Voucher,0,1121.951197,22591.613338
DP Charges for Sale of TRENT on 03/08/2020,2020-08-03,NSE-EQ - Z,Journal Entry,15.93,0,22575.683338
Net settlement  for  NSE-Equity with settlement number: 2020148,2020-08-04,NSE-EQ - Z,Book Voucher,0,552.768319,23128.451657
DP Charges for Sale of TRENT on 04/08/2020,2020-08-04,NSE-EQ - Z,Journal Entry,15.93,0,23112.521657
Net settlement  for  NSE-Equity with settlement number: 2020149,2020-08-05,NSE-EQ - Z,Book Voucher,0,2851.861274,25964.382931
DP Charges for Sale of PIDILITIND on 05/08/2020,2020-08-05,NSE-EQ - Z,Journal Entry,15.93,0,25948.452931
Net settlement  for  NSE-Equity with settlement number: 2020150,2020-08-06,NSE-EQ - Z,Book Voucher,262.420446,0,25686.032485
Net settlement  for  NSE-Equity with settlement number: 2020152,2020-08-10,NSE-EQ - Z,Book Voucher,0,8168.509359,33854.541844
DP Charges for Sale of TATAELXSI on 10/08/2020,2020-08-10,NSE-EQ - Z,Journal Entry,15.93,0,33838.611844
DP Charges for Sale of M&M on 10/08/2020,2020-08-10,NSE-EQ - Z,Journal Entry,15.93,0,33822.681844
Net settlement  for  NSE-Equity with settlement number: 2020153,2020-08-11,NSE-EQ - Z,Book Voucher,0,6083.784437,39890.536281
DP Charges for Sale of FRETAIL on 11/08/2020,2020-08-11,NSE-EQ - Z,Journal Entry,15.93,0,33806.751844
DP Charges for Sale of TATAELXSI on 11/08/2020,2020-08-11,NSE-EQ - Z,Journal Entry,15.93,0,39874.606281
Net settlement  for  NSE-Equity with settlement number: 2020154,2020-08-12,NSE-EQ - Z,Book Voucher,0,4242.435747,44117.042028
DP Charges for Sale of TITAN on 12/08/2020,2020-08-12,NSE-EQ - Z,Journal Entry,15.93,0,44101.112028
Net settlement  for  NSE-Equity with settlement number: 2020155,2020-08-13,NSE-EQ - Z,Book Voucher,433.143079,0,43667.968949
DP Charges for Sale of JPASSOCIAT on 13/08/2020,2020-08-13,NSE-EQ - Z,Journal Entry,15.93,0,43652.038949
Net settlement  for  NSE-Equity with settlement number: 2020164,2020-08-26,NSE-EQ - Z,Book Voucher,0,10079.155751,53731.1947
DP Charges for Sale of BEPL on 26/08/2020,2020-08-26,NSE-EQ - Z,Journal Entry,15.93,0,53715.2647
Net settlement  for  NSE-Equity with settlement number: 2020171,2020-09-04,NSE-EQ - Z,Book Voucher,188.018549,0,53527.246151
DP Charges for Sale of TIRUMALCHM on 07/09/2020,2020-09-07,NSE-EQ - Z,Journal Entry,15.93,0,53511.316151
Net settlement  for  NSE-Equity with settlement number: 2020172,2020-09-07,NSE-EQ - Z,Book Voucher,0,4648.871119,58160.18727
Net settlement  for  NSE-Equity with settlement number: 2020174,2020-09-09,NSE-EQ - Z,Book Voucher,2423.444896,0,55736.742374
Net settlement  for  NSE-Equity with settlement number: 2020176,2020-09-11,NSE-EQ - Z,Book Voucher,658.783473,0,55077.958901
Net settlement  for  NSE-Equity with settlement number: 2020177,2020-09-14,NSE-EQ - Z,Book Voucher,41178.188593,0,13899.770308
Net settlement  for  NSE-Equity with settlement number: 2020178,2020-09-15,NSE-EQ - Z,Book Voucher,10972.892216,0,2926.878092
Net settlement  for  NSE-Equity with settlement number: 2020180,2020-09-17,NSE-EQ - Z,Book Voucher,678.936248,0,2247.941844
Net settlement  for  NSE-Equity with settlement number: 2020181,2020-09-18,NSE-EQ - Z,Book Voucher,1785.873524,0,462.06832
Net settlement  for  NSE-Equity with settlement number: 2020182,2020-09-21,NSE-EQ - Z,Book Voucher,441.726879,0,20.341441
Net settlement  for  NSE-Equity with settlement number: 2020197,2020-10-13,NSE-EQ - Z,Book Voucher,0,303.977286,324.318727
DP Charges for Sale of SPTL on 13/10/2020,2020-10-13,NSE-EQ - Z,Journal Entry,15.93,0,308.388727
AMC for Demat Account for 29-06-2020 to 28-09-2020,2020-10-20,NSE-EQ - Z,Journal Entry,88.5,0,219.888727
DP Charges for Sale of PGHH on 21/10/2020,2020-10-21,NSE-EQ - Z,Journal Entry,15.93,0,203.958727
Net settlement  for  NSE-Equity with settlement number: 2020203,2020-10-21,NSE-EQ - Z,Book Voucher,0,8390.586161,8594.544888
Net settlement  for  NSE-Equity with settlement number: 2020208,2020-10-28,NSE-EQ - Z,Book Voucher,165.217731,0,8429.327157
Net settlement  for  NSE-Equity with settlement number: 2020209,2020-10-29,NSE-EQ - Z,Book Voucher,2002.389512,0,6426.937645
Net settlement  for  NSE-Equity with settlement number: 2020213,2020-11-04,NSE-EQ - Z,Book Voucher,1872.884481,0,4554.053164
Net settlement  for  NSE-Equity with settlement number: 2020221,2020-11-14,NSE-EQ - Z,Book Voucher,440.527313,0,4113.525851
Brokerage reversal on account on Muhurat Trading,2020-11-14,NSE-EQ - Z,Journal Entry,0,0.0118,4113.537651
Net settlement  for  NSE-Equity with settlement number: 2020222,2020-11-17,NSE-EQ - Z,Book Voucher,0,4852.278147,8965.815798
Charges for sale of ASHOKLEY on 2020-11-17,2020-11-17,NSE-EQ - Z,Journal Entry,15.93,0,8949.885798
Net settlement  for  NSE-Equity with settlement number: 2020224,2020-11-19,NSE-EQ - Z,Book Voucher,0,6749.195643,15699.081441
Charges for sale of SPICEJET on 2020-11-19,2020-11-19,NSE-EQ - Z,Journal Entry,15.93,0,15683.151441
DP Charges for sale of DELTACORP on 2020-12-04,2020-12-04,NSE-EQ - Z,Journal Entry,15.93,0,15667.221441
Net settlement  for  NSE-Equity with settlement number: 2020234,2020-12-04,NSE-EQ - Z,Book Voucher,0,1501.934206,17169.155647
Net settlement  for  NSE-Equity with settlement number: 2020246,2020-12-22,NSE-EQ - Z,Book Voucher,0,34365.353218,51534.508865
DP Charges for sale of HONAUT on 2020-12-22,2020-12-22,NSE-EQ - Z,Journal Entry,15.93,0,51518.578865
DP Charges for sale of DELTACORP on 2020-12-30,2020-12-30,NSE-EQ - Z,Journal Entry,15.93,0,65669.879364
DP Charges for sale of INDIGO on 2020-12-30,2020-12-30,NSE-EQ - Z,Journal Entry,15.93,0,65685.809364
Net settlement  for  NSE-Equity with settlement number: 2020251,2020-12-30,NSE-EQ - Z,Book Voucher,0,14183.160499,65701.739364
Net settlement  for  NSE-Equity with settlement number: 2021006,2021-01-08,NSE-EQ - Z,Book Voucher,1006.053216,0,64663.826148
AMC for Demat Account for 28-09-2020 to 28-12-2020,2021-01-11,NSE-EQ - Z,Journal Entry,88.5,0,64575.326148
Net settlement  for  NSE-Equity with settlement number: 2021009,2021-01-13,NSE-EQ - Z,Book Voucher,2697.008511,0,61878.317637
Net settlement  for  NSE-Equity with settlement number: 2021010,2021-01-14,NSE-EQ - Z,Book Voucher,968.71622,0,60909.601417
Net settlement  for  NSE-Equity with settlement number: 2021012,2021-01-18,NSE-EQ - Z,Book Voucher,1327.555508,0,59582.045909
Payout of 5000.0/- to State Bank of India 20176720803 A/C number as per withdrawal request made on 2021-01-19,2021-01-19,NSE-EQ - Z,Bank Payments,5000,0,54582.045909
Net settlement  for  NSE-Equity with settlement number: 2021015,2021-01-21,NSE-EQ - Z,Book Voucher,14602.4854,0,39979.560509
Payout of 15000.0/- to State Bank of India 20176720803 A/C number as per withdrawal request made on 2021-01-21,2021-01-21,NSE-EQ - Z,Bank Payments,15000,0,24979.560509
Net settlement  for  NSE-Equity with settlement number: 2021017,2021-01-25,NSE-EQ - Z,Book Voucher,5873.325398,0,19106.235111
Net settlement  for  NSE-Equity with settlement number: 2021018,2021-01-27,NSE-EQ - Z,Book Voucher,0,3734.227186,22824.532297
DP Charges for Sale of TATAMOTORS on 27/01/2021,2021-01-27,NSE-EQ - Z,Journal Entry,15.93,0,19090.305111
Net settlement  for  NSE-Equity with settlement number: 2021019,2021-01-28,NSE-EQ - Z,Book Voucher,4694.180099,0,18130.352198
Net settlement  for  NSE-Equity with settlement number: 2021020,2021-01-29,NSE-EQ - Z,Book Voucher,4934.334362,0,13196.017836
Net settlement  for  NSE-Equity with settlement number: 2021021,2021-02-01,NSE-EQ - Z,Book Voucher,2222.084949,0,10973.932887
Net settlement  for  NSE-Equity with settlement number: 2021024,2021-02-04,NSE-EQ - Z,Book Voucher,2409.811021,0,8564.121866
Net settlement  for  NSE-Equity with settlement number: 2021025,2021-02-05,NSE-EQ - Z,Book Voucher,1338.905882,0,7225.215984
DP Charges for sale of PEL on 2021-03-12,2021-03-12,NSE-EQ - Z,Journal Entry,15.93,0,7209.285984
Net settlement  for  NSE-Equity with settlement number: 2021049,2021-03-12,NSE-EQ - Z,Book Voucher,0,15115.964626,22325.25061
Net settlement  for  NSE-Equity with settlement number: 2021054,2021-03-19,NSE-EQ - Z,Book Voucher,1158.049923,0,21167.200687
Payout of 20000.0/- to State Bank of India 20176720803 A/C number as per withdrawal request made on 2021-03-28,2021-03-30,NSE-EQ - Z,Bank Payments,20000,0,1167.200687
Net settlement  for  NSE-Equity with settlement number: 2021063,2021-04-05,NSE-EQ - Z,Book Voucher,543.529675,0,623.671012
Net settlement  for  NSE-Equity with settlement number: 2021068,2021-04-12,NSE-EQ - Z,Book Voucher,498.032281,0,125.638731
DP Charges for Sale of MINDACORP on 25/06/2021,2021-06-25,NSE-EQ - Z,Journal Entry,15.93,0,109.708731
Net settlement  for  NSE-Equity with settlement number: 2021119,2021-06-25,NSE-EQ - Z,Book Voucher,0,2487.804913,2597.513644
DP Charges for Sale of NBCC on 07/07/2021,2021-07-07,NSE-EQ - Z,Journal Entry,15.93,0,2581.583644
Net settlement  for  Equity with settlement number: 2021127,2021-07-07,NSE-EQ - Z,Book Voucher,0,4574.335016,7155.91866
Net settlement for Equity with settlement number: 2021150,2021-08-10,NSE-EQ - Z,Book Voucher,0,4470.801548,11626.720208
DP Charges for Sale of DELTACORP on 10/08/2021,2021-08-10,NSE-EQ - Z,Journal Entry,15.93,0,11610.790208
Payout of 10000.0/- to State Bank of India 20176720803 A/C number as per withdrawal request made on 2021-08-13,2021-08-13,NSE-EQ - Z,Bank Payments,10000,0,1610.790208
DP Charges for sale of GMBREW on 2021-09-09,2021-09-09,NSE-EQ - Z,Journal Entry,15.93,0,1594.860208
Net settlement for Equity with settlement number: 2021171,2021-09-09,NSE-EQ - Z,Book Voucher,0,11589.854266,13184.714474
DP Charges for sale of MARUTI on 2021-09-14,2021-09-14,NSE-EQ - Z,Journal Entry,15.93,0,13168.784474
Net settlement for Equity with settlement number: 2021173,2021-09-14,NSE-EQ - Z,Book Voucher,0,6926.698983,20095.483457
AMC for Demat Account for 29-12-2020 to 29-03-2021,2021-09-14,NSE-EQ - Z,Journal Entry,88.5,0,20006.983457
Payout of 13000.0/- to State Bank of India 20176720803 A/C number as per withdrawal request made on 2021-09-16,2021-09-16,NSE-EQ - Z,Bank Payments,13000,0,7006.983457
Payout of 5000.0/- to State Bank of India 20176720803 A/C number as per withdrawal request made on 2021-09-17,2021-09-17,NSE-EQ - Z,Bank Payments,5000,0,2006.983457
Funds transferred back to primary bank account as part of quarterly settlement,2021-10-18,NSE-EQ - Z,Bank Payments,2006.98,0,0.003457
AMC for Demat Account for 2021-03-30 to 2021-06-27,2021-10-28,NSE-EQ - Z,Journal Entry,88.5,0,-88.496543
Funds added using UPIX with reference number 130870313988,2021-11-04,NSE-EQ - Z,Bank Receipts,0,2000,1911.503457
Net settlement for Equity with settlement number: 2021209,2021-11-04,NSE-EQ - Z,Book Voucher,577.085827,0,1334.41763
Net settlement for Equity with settlement number: 2021226,2021-12-01,NSE-EQ - Z,Book Voucher,665.039496,0,669.378134
DP Charges for Sale of RANEHOLDIN on 31/12/2021,2021-12-31,NSE-EQ - Z,Journal Entry,15.93,0,653.448134
Net settlement for Equity with settlement number: 2021248,2021-12-31,NSE-EQ - Z,Book Voucher,0,1903.974443,2557.422577
Funds transferred back to primary bank account as part of quarterly settlement,2022-01-11,NSE-EQ - Z,Bank Payments,2557.42,0,0.002577
Net settlement for Equity with settlement number: 2022016,2022-01-24,NSE-EQ - Z,Book Voucher,14656.745467,0,-14656.74289
Funds added using payment gateway fromX with reference number IGAMWMSTB7,2022-01-24,NSE-EQ - Z,Bank Receipts,0,20000,5343.25711
Being payment gateway charges debited forX,2022-01-24,NSE-EQ - Z,Journal Entry,10.62,0,5332.63711
Funds added using UPIX with reference number 202414159385,2022-01-24,NSE-EQ - Z,Bank Receipts,0,20000,25332.63711
Net settlement for Equity with settlement number: 2022018,2022-01-27,NSE-EQ - Z,Book Voucher,4870.956365,0,20461.680745
Net settlement for Equity with settlement number: 2022019,2022-01-28,NSE-EQ - Z,Book Voucher,626.037869,0,19835.642876
Net settlement for Equity with settlement number: 2022025,2022-02-07,NSE-EQ - Z,Book Voucher,3351.0514,0,16484.591476
Net settlement for Equity with settlement number: 2022026,2022-02-08,NSE-EQ - Z,Book Voucher,1099.257606,0,15385.33387
Net settlement for Equity with settlement number: 2022030,2022-02-14,NSE-EQ - Z,Book Voucher,4149.077335,0,11236.256535
Net settlement for Equity with settlement number: 2022031,2022-02-15,NSE-EQ - Z,Book Voucher,631.788109,0,10604.468426
Net settlement for Equity with settlement number: 2022032,2022-02-16,NSE-EQ - Z,Book Voucher,252.022311,0,10352.446115
Net settlement for Equity with settlement number: 2022033,2022-02-17,NSE-EQ - Z,Book Voucher,1223.562791,0,9128.883324
Net settlement for Equity with settlement number: 2022036,2022-02-22,NSE-EQ - Z,Book Voucher,6073.114808,0,3055.768516
